Transacciones_ATM,ticket_promedio_diarioATM,Monto_Neto_ATM
174234,71.436045778,12446588
218978,83.515111107,18287972
229580,82.827676627,19015578
147012,63.129139118,9280741
175614,72.316375688,12699768
188884,79.460319561,15008783
264822,98.520459025,26090385
344549,112.145027268,38639457
404567,124.203783304,50248752
334367,103.493176659,34604703
198676,77.930525076,15482925
231835,81.572911769,18911456
205439,74.411947099,15287116
228608,74.858740726,17113307
200726,70.289927563,14109016
223541,78.220916968,17485582
221597,78.746323281,17449949
155488,63.207257152,9827970
195697,73.540161576,14391589
180541,71.962041863,12992099
252978,92.983765387,23522847
273732,97.038680169,26562592
383258,111.077149075,42571206
346972,108.152409993,37525858
169729,75.675954021,12844404
155831,76.38179823,11902652
228327,86.449399326,19738732
200354,76.84520898,15396245
216415,82.671422961,17891336
205503,81.023191876,16650509
205860,82.262591081,16934577
139621,63.788971573,8906280
167774,70.434781313,11817125
185331,76.094026364,14102582
179829,67.386061203,12117968
251960,98.357675822,24782200
385377,116.424773663,44867430
362862,110.536129438,40109361
208403,81.909463875,17070178
256231,94.481826945,24209173
211787,83.333991227,17649056
191391,72.445433693,13865404
188240,71.186772206,13400198
235029,83.313931472,19581190
223283,80.09479002,17883805
142305,62.094993149,8836428
162650,67.657811251,11004543
133014,66.112025802,8793825
197822,76.818270971,15196344
227293,92.695142393,21068957
335963,108.362233341,36405701
182697,81.157889839,14827303
314466,107.425044361,33781524
250815,91.23226681,22882421
208159,81.29838729,16922991
200582,79.403745102,15926962
233492,88.061950731,20561761
232645,84.373496099,19629072
143006,66.200299288,9467040
172334,75.346106978,12984696
170774,73.435862602,12540936
163224,68.286802186,11146045
158612,71.419722341,11328025
219250,82.981860889,18193773
240980,93.902029214,22628511
158898,74.338009289,11812161
203568,88.9150112,18100251
289938,111.847584656,32428865
374332,111.498552087,41737476
263233,88.590169166,23319856
247387,84.185349271,20826361
260389,83.925292543,21853223
148949,65.110380063,9698126
202527,75.701141082,15331525
179148,71.868337911,12875069
175667,65.949728748,11585191
171484,67.139371603,11513328
216467,79.477269053,17204206
220594,83.491364226,18417694
130074,64.346656519,8369827
190509,76.126319491,14502749
247815,102.051300365,25289843
315469,109.701939018,34607561
364058,110.635508628,40277742
283193,97.500962241,27611590
255564,89.70826877,22926204
160275,68.920368117,11046212
194028,78.257648381,15184175
214159,81.23447065,17397093
184859,68.70776646,12701249
172417,70.230267317,12108892
211422,78.507444826,16598201
218122,80.821205564,17628883
139184,63.651705656,8859299
186910,89.683302124,16762706
183019,87.241248176,15966806
249834,101.065067205,25249490
316781,111.627143042,35361358
378785,114.783148752,43478135
291454,95.666084528,27882263
172296,73.220504249,12615600
208905,78.906972069,16484061
188519,74.036182029,13957227
216502,75.796842523,16410168
177528,71.326652697,12662478
201500,76.509707196,15416706
207945,79.072168121,16442662
143079,63.765080829,9123444
185802,74.345152366,13813478
171035,71.581676265,12242972
241182,95.822117737,23110570
248920,94.34597461,23484600
385490,115.275931931,44437719
345987,108.372427288,37495451
197663,79.499840638,15714177
236162,87.520282687,20668965
202786,81.143831428,16454833
192532,73.446751709,14140850
189995,73.483065344,13961415
268721,86.358129807,23206243
283362,83.675069346,23710335
175871,65.928385009,11594891
219949,75.051043651,16507402
196710,71.563875756,14077330
227082,74.766322298,16978086
249756,90.66130143,22643204
375649,116.554685358,43783651
343656,109.729185581,37709093
225400,89.372062999,20144463
358887,119.14357444,42759080
288495,93.84428153,27073606
240227,77.05638417,18511024
214568,72.906076395,15643311
256225,80.137831984,20533316
257719,79.683678735,20535998
166354,61.576878224,10243560
192988,68.684467428,13255278
184445,66.825031852,12325543
183749,64.467229754,11845789
210932,76.204198509,16073904
279866,98.858514432,27667137
291207,96.95816378,28234896
187027,78.21825191,14628925
269470,100.495851115,27080617
344873,110.670507694,38167270
274888,91.733087658,25216325
233646,83.554334335,19522136
248850,82.994514768,20653185
244482,84.324661938,20615862
161496,66.617389904,10758442
204804,78.864109099,16151685
176561,71.973244374,12707668
178228,67.718736674,12069375
173844,69.721675755,12120695
216910,83.579526071,18129235
253928,91.335669954,23192684
152732,75.682293167,11559108
224140,102.643008834,23006404
235153,98.88009934,23251952
307542,108.421305058,33344105
351097,112.444241905,39478836
294393,92.153580418,27129369
255519,84.76732063,21659661
164516,66.127987551,10879112
197189,73.127162266,14419872
210799,77.174436311,16268294
174215,66.894635938,11654049
182111,69.426338881,12643300
223545,81.918070187,18312375
219730,82.399626815,18105670
143648,63.115184339,9066370
170445,71.022717005,12105467
186973,80.095152776,14975631
260405,99.112851136,25809482
325301,110.787043384,36039136
383690,113.461455863,43534026
298340,97.831826104,29187147
180419,74.756921389,13487569
209556,86.309764454,18086729
192327,78.926541775,15179705
223695,80.45254923,17996833
183450,73.225947125,13433300
196054,79.473497098,15581097
200681,82.633717193,16583017
148812,64.995403596,9672096
190419,77.732763012,14801795
165544,72.332558111,11974221
182950,75.632254714,13836921
260870,101.47175988,26470938
404787,118.587135951,48002531
363493,108.166751492,39317857
188943,79.150659194,14954963
226478,82.347711477,18649945
207175,74.950602148,15527891
196419,68.264358336,13408417
221786,77.283926848,17140493
209358,78.315034534,16395879
216803,79.853530625,17312485
140727,62.341384383,8773116
180635,70.763523127,12782369
203511,78.956788577,16068575
187454,73.952820425,13862752
262490,99.561827117,26133984
392148,116.300070382,45606840
352882,108.625580222,38332012
209012,83.560431937,17465133
263566,93.477781656,24637565
235571,90.601041724,21342978
264891,93.923032493,24879366
141091,73.703460887,10398895
146431,68.862126189,10083550
142492,68.015130674,9691612
134538,62.163039439,8363291
177771,76.154603394,13538080
173048,75.344482456,13038212
212435,77.729959752,16512564
163710,82.973575224,13583604
240101,95.493571455,22928102
268529,98.864770658,26548058
177362,80.684205185,14310312
291032,108.418325133,31553202
349112,114.515903206,39978876
264845,89.719658668,23761803
219535,79.421809734,17435867
260317,85.33672023,22214599
246447,83.211234058,20507159
154706,66.888498184,10348052
175647,71.445535648,12549194
158273,72.374296311,11454897
174576,68.997932133,12045383
192574,74.548926646,14356185
320223,105.223987659,33695141
295634,103.186206593,30505351
178140,79.683468059,14194813
155956,79.831260099,12450164
275768,100.957841374,27840942
356722,113.521703175,40495689
280673,99.043213989,27798756
274320,96.08040245,26356776
320403,98.124440158,31439365
212361,81.54409708,17316786
276458,94.941933314,26247457
254051,88.785015607,22555922
280071,83.46795634,23376954
164390,74.004592737,12165615
243718,87.287935237,21273641
276688,99.682895536,27581061
185978,80.139457355,14904176
237590,92.376867713,21947820
287858,130.558032085,37582174
374332,132.199819946,49486623
398311,134.771324417,53680901
366992,115.579560317,42416774
308911,103.789343856,32061670
207420,83.35827789,17290174
249118,89.33110815,22253987
279090,95.599914006,26680980
256951,83.45309417,21443356
243350,83.22006164,20251602
296148,93.112629496,27575119
272083,85.349294149,23222092
122128,70.372256976,8594423
212171,82.635270607,17532808
283769,110.965045512,31488440
364025,121.869245244,44363452
436371,118.97243859,51916122
316378,94.404816391,29867607
144893,72.528293292,10508842
229650,89.266144132,20499970
207168,80.712359052,16721018
238500,83.081559748,19814952
226485,81.939717862,18558117
221297,80.149242873,17736787
142407,62.139494547,8849099
119290,64.26843826,7666582
209327,76.754838124,16066860
190135,72.551807926,13794638
251040,97.776015774,24545691
376422,116.030399392,43676395
363321,109.90707391,39931548
197656,82.051640223,16217999
256431,88.676411978,22739381
216033,82.207417385,17759515
203387,73.368115956,14922121
192954,73.821594784,14244172
246747,84.159142766,20766016
224227,78.953025282,17703400
141370,61.658796067,8716704
174564,70.78849591,12357123
167359,71.622996074,11986753
208058,77.450355189,16114166
226230,92.272779914,20874871
321454,105.100925793,33785113
299896,100.433713687,30119669
187251,82.029569936,15360119
335403,111.750768479,37481543
269607,95.325555345,25700437
232294,84.46959887,19621781
206960,79.429532277,16438736
248783,87.166213125,21685472
239125,83.675312075,20008859
148525,64.94673624,9646214
181006,74.419555153,13470386
170056,70.756033307,12032488
170930,67.583630726,11552070
174629,73.309352971,12801939
283474,101.611467013,28804209
268329,93.72060791,25147957
166114,75.353955717,12517347
237387,91.097136743,21625276
288522,101.917919604,29405562
358576,108.878614297,39041258
267223,87.996051987,23514569
276051,84.146603345,23228754
305218,87.173905209,26607045
189658,69.191128241,13122651
246743,80.37365599,19831637
214683,74.483550165,15990352
211379,72.497769409,15324506
263903,98.843616783,26085127
423781,124.095903309,52589486
321635,107.977064063,34729203
157985,77.324429534,12216100
162811,74.783417582,12175563
128351,70.385988422,9034112
227593,93.197361079,21211067
262260,94.63954854,24820168
276582,96.037554866,26562259
256335,87.702483079,22481216
168091,66.922702584,11249104
192410,77.077314069,14830446
176863,73.353324324,12973489
180848,69.923836592,12645586
181060,72.667132442,13157111
243153,86.982916106,21150157
275723,99.021376526,27302471
168463,76.336738631,12859916
223462,89.69735794,20043951
323608,114.275265136,36980390
374146,110.800430848,41455538
270252,88.434542575,23899612
261470,86.545951734,22629170
262611,84.626055268,22223733
177163,71.386881008,12647114
266396,123.348691422,32859598
209599,98.17667069,20577732
198377,79.817993013,15834054
182695,75.608177564,13813236
234664,86.363596461,20266427
275680,99.494479106,27428638
140632,75.663362535,10640690
208163,85.298640969,17756021
226106,89.880648899,20322554
297063,105.835489442,31439808
357088,111.636823416,39864170
312938,97.004866779,30356509
269079,91.528632855,24628433
170173,71.118902529,12102517
208775,83.501003473,17432922
192895,77.11225278,14874568
225390,80.005324105,18032400
195009,74.581957756,14544153
224314,83.196795563,18662206
233631,84.079184697,19643504
158851,66.122536213,10503631
208200,80.009870317,16658055
263789,100.335085997,26467292
397700,122.003037465,48520608
416992,127.788811296,53286912
129880,90.694772097,11779437
226877,90.887899611,20620374
169610,79.619904487,13504332
268081,91.564090704,24546593
218852,81.757429679,17892777
204527,73.160629159,14963324
251438,78.197396575,19661797
242913,79.958750664,19423020
248283,81.703773517,20285658
163467,62.53772321,10222854
186456,70.230987472,13094989
210061,78.97628784,16589838
198456,74.384422744,14762035
280834,102.024295491,28651891
419627,119.000259754,49935722
375035,113.279093951,42483625
193857,81.246831427,15750267
168273,80.777486584,13592670
249768,91.107703949,22755789
213238,81.945127041,17473815
203648,79.262423397,16141634
248380,90.155266124,22392765
229741,85.01657954,19531794
145021,65.396101254,9483808
179499,71.606777754,12853345
172672,72.439162111,12508215
200604,74.539749955,14952972
186383,74.704157568,13923585
339850,112.94025011,38382744
336164,106.301813996,35734843
210780,85.300659455,17979673
349312,111.417160017,38919351
255164,86.816474895,22152439
225994,75.274945353,17011686
203540,73.14526383,14887987
250721,84.187682723,21107620
244695,83.011998611,20312621
153564,64.473190331,9900761
180346,69.737271689,12576838
171264,70.10244418,12006025
174461,66.84441795,11661744
201557,77.661366264,15653192
275120,104.236613114,28677577
275830,98.427527825,27149265
169764,78.615201103,13346031
264153,99.773990831,26355599
367226,116.07017477,42623986
277857,92.571491811,25721637
242390,86.18910021,20891376
255214,86.887090834,22174802
250293,87.589393231,21923012
160034,69.059462364,11051862
209239,81.662343062,17086947
183989,75.540135552,13898554
171510,68.590472859,11763952
171467,71.503449643,12260482
213222,82.429163032,17575711
262310,95.050623308,24932729
160118,74.800653268,11976931
201790,84.556345706,17062625
229394,88.645090979,20334652
312921,107.332297928,33586530
369495,111.649137336,41253798
287183,93.260029319,26782695
281211,88.194672328,24801312
166696,72.566018381,12096465
242411,124.391422006,30153849
242360,103.989952963,25203005
190872,83.238112452,15887825
183490,76.627576435,14060394
220261,83.591198623,18411881
221906,82.763827927,18365790
141844,62.825350385,8911399
177909,75.605146451,13450836
242643,101.726557123,24683237
239669,90.945837801,21796898
317678,110.683512865,35161717
407038,114.756944069,46710437
305129,98.870271262,30168187
177205,75.882712113,13446796
228956,87.085990321,19938860
203188,80.799235191,16417435
219505,80.757814173,17726744
198203,73.824260985,14632190
210570,78.332345538,16494442
211091,80.31310667,16953374
143787,63.814002657,9175624
190005,73.902344675,14041815
173141,71.364725859,12356160
248987,97.805471772,24352291
250606,93.554603641,23445345
358383,121.223029552,43444273
369815,113.002155132,41789892
205770,79.723574865,16404720
248161,84.591362059,20992277
207406,76.097191017,15783014
191226,68.592801188,13116727
228290,77.385005914,17666223
217790,78.076472749,17004275
215253,78.994569181,17003818
145111,61.353563824,8903077
182774,70.073806997,12807670
199942,78.049154255,15605304
193000,72.629958549,14017582
280294,105.920954426,29689008
412034,120.141490751,49502379
369137,110.657742247,40847867
194613,84.967211851,16535724
275738,94.025879639,25926508
235325,87.76373526,20653001
214181,77.567473305,16613479
205159,77.643622751,15929288
265633,87.85796569,23337975
311012,89.34131802,27786222
188157,66.993585144,12605312
230536,75.025592532,17296100
194656,70.055477355,13636719
209958,68.995984911,14486259
234125,79.148839295,18530722
312115,105.606792368,32961464
323668,105.778143035,34237000
207860,84.760713942,17618362
324442,113.127310891,36703251
406657,127.732846109,51943456
318205,95.456256187,30374658
263839,82.42519112,21746980
283740,84.613459505,24008223
274343,82.911905899,22746301
174084,66.628868822,11599020
213190,71.068708664,15151138
198218,67.832734666,13445669
185229,61.916465564,11468725
194836,68.104416022,13269192
257169,84.757206351,21796926
290137,99.95227427,28999853
168734,75.744639492,12780696
214194,88.365719861,18927407
297553,107.633645099,32026714
391202,115.005777067,44990490
304299,96.120036543,29249231
286939,90.49732173,25967211
251289,88.628598944,22271392
170807,68.547986909,11708476
208398,79.672333708,16603555
235989,83.918271614,19803789
197755,70.137665293,13870074
182163,70.799004189,12896959
226457,81.344339102,18420995
223627,84.87268532,18979824
140075,63.869305729,8946493
185626,72.875141413,13527521
246455,101.963319876,25129370
248989,90.02479226,22415183
327234,110.164888123,36049697
399938,115.029582085,46004701
302534,96.032201339,29053006
190878,82.104595606,15671961
266813,123.07342221,32837589
220575,100.364914428,22137991
238908,89.04308353,21273105
199843,80.194062339,16026222
217593,83.17123253,18097478
219539,82.562451318,18125678
150030,65.251762981,9789722
196109,76.98954663,15098343
188850,76.901715647,14522889
254596,101.853206649,25931419
258586,96.769419071,25023217
408658,119.232730058,48725409
360589,111.972886028,40376191
204422,81.342424005,16628181
249236,91.996705933,22928891
213168,82.704800908,17630017
195328,74.81866911,14614181
230856,82.252780954,18988548
226771,79.751154248,18085249
225746,81.525502113,18404056
148406,62.871305742,9330479
175370,70.883737241,12430881
202506,76.603305581,15512629
144414,67.707445262,9777903
271876,103.688490341,28190412
405627,120.395513612,48835671
381402,113.079857998,43128884
213237,82.392324034,17569092
256465,87.10159281,22338510
217168,79.123102851,17183006
197432,69.838445642,13788344
193201,71.519909317,13817718
253763,84.736939585,21503100
222861,82.747533216,18441198
143242,63.131986429,9043152
169880,70.123192842,11912528
169232,72.565135435,12280343
205366,74.632860357,15327052
207184,78.902207699,16347275
338359,114.837574883,38856327
324666,107.713068199,34970771
212038,87.068709382,18461875
355025,113.936748116,40450394
315202,95.938150773,30239897
295332,91.380923842,26987711
307533,98.372838037,30252894
156998,73.827258946,11590732
157391,68.163948383,10728392
126640,60.490998105,7660580
147579,64.272877577,9485327
207514,78.280756961,16244353
187552,75.187089447,14101489
253576,85.896090324,21781187
181976,90.908685761,16543199
229342,91.462876403,20976279
158330,72.337889219,11453258
226815,95.010166876,21549731
311997,111.986281919,34939384
409643,118.768515512,48652691
284675,93.159638184,26520220
267174,87.19737699,23296872
279303,85.845934344,23977027
180094,67.967700201,12240575
235176,78.938199476,18564370
201327,73.363140562,14769981
199753,68.340345326,13651189
192084,70.830121197,13605333
239323,81.389327394,19478338
285387,100.092674158,28565148
169902,77.384298007,13147747
254983,92.620053102,23616539
199104,95.851951744,19084507
318879,106.950586273,34104296
391547,117.457822433,45990258
326243,107.499943294,35071104
289118,99.660425847,28813623
192232,78.694478547,15127597
232859,88.014807244,20495040
358233,103.279555485,36998145
288315,87.226661811,25148755
333893,93.584540556,31247223
184009,81.551543674,15006218
239482,86.099468854,20619273
172743,68.431218631,11821014
222378,78.339970681,17421086
232980,84.965417632,19795243
306955,113.335837501,34789002
